datekey,productkey,warehousekey,openingqty,inboundqty,outboundqty,closingqty,inventoryvalue,averageagedays,provisionamount
20240531,21,2,82.91,28.11,53.02,57.99999999999999,299.18,5.7,9.98
20240531,24,1,106.63,87.79,7.3,187.12,6031.37,78.3,721.96
20240531,1,3,108.82,14.78,68.49,55.11,1845.19,11.4,42.47
20240531,9,1,168.55,93.1,10.54,251.10999999999999,4907.06,96.4,919.72
20240531,20,2,48.38,17.18,62.23,3.3300000000000054,111.65,58.3,8.19
20240630,21,3,197.6,43.08,108.79,131.89,2276.06,11.4,152.15
20240630,30,2,176.81,23.33,117.04,83.09999999999998,3113.28,10.8,93.43
20240630,24,3,177.91,8.26,8.24,177.92999999999998,1729.15,57.6,109.8
20240630,2,3,122.14,56.63,39.73,139.04000000000002,4966.08,83.1,693.86
20240630,15,3,130.41,9.4,8.83,130.98,2521.45,64.5,445.65
20240630,16,3,180.12,65.2,13.86,231.45999999999998,4155.58,25.7,772.6
20240630,5,1,186.97,87.89,81.12,193.74,2830.14,21.7,512.18
20240630,3,2,82.54,86.85,74.99,94.39999999999999,1796.96,16.7,295.49
20240630,17,1,23.3,37.22,4.36,56.16,378.0,100.6,64.01
20240630,18,1,11.98,84.33,57.02,39.29,805.79,110.1,70.37
20240731,11,1,113.4,19.09,8.3,124.19000000000001,1619.24,53.1,101.54
20240731,12,2,76.95,49.65,81.41,45.19,1590.74,113.8,298.19
20240731,22,3,130.16,64.87,17.84,177.19,3894.08,44.6,459.02
20240731,26,3,5.68,94.24,41.31,58.609999999999985,1716.78,18.9,265.01
20240731,16,3,71.97,66.27,5.58,132.66,3475.76,116.7,75.25
20240731,4,3,172.3,52.71,118.04,106.97000000000001,3584.87,65.1,683.95
20240731,20,1,43.6,8.33,0.01,51.92,1863.71,109.5,9.79
20240731,30,2,173.56,8.55,107.25,74.86000000000001,615.97,11.7,84.46
20240731,23,3,68.29,67.22,27.55,107.96,2337.43,46.4,426.41
20240731,27,2,45.15,65.74,38.67,72.21999999999998,1184.44,36.7,92.61
20240831,30,1,173.47,23.31,23.6,173.18,5592.62,83.4,938.25
20240831,4,2,186.45,81.37,62.18,205.64,3412.13,84.9,565.62
20240831,20,3,2.46,73.07,54.65,20.87999999999999,746.24,67.2,31.97
20240831,14,2,105.29,41.05,34.88,111.46000000000001,3825.71,39.8,202.2
20240831,13,2,192.52,44.82,107.08,130.26,954.69,107.4,178.27
20240831,6,2,173.23,95.49,73.09,195.62999999999997,4014.4,102.6,146.66
20240831,7,2,88.9,7.08,62.81,33.17,1283.31,25.2,95.71
20240831,22,1,123.95,67.93,41.41,150.47,4869.73,99.2,552.71
20240831,2,2,90.29,0.97,80.03,11.230000000000004,339.37,43.4,43.89
20240831,1,2,105.27,85.66,111.07,79.86000000000001,2680.84,56.1,85.63
20240930,9,1,37.66,97.61,88.15,47.119999999999976,1727.02,87.9,47.1
20240930,11,3,116.1,19.46,52.8,82.76,3224.74,119.2,633.87
20240930,28,1,9.55,83.84,80.62,12.769999999999996,319.32,18.4,42.34
20240930,25,3,138.08,5.61,105.23,38.46000000000002,599.69,19.0,99.17
20240930,6,3,52.04,63.4,11.71,103.72999999999999,1153.75,63.6,32.42
20240930,17,3,74.02,9.69,0.73,82.97999999999999,2493.61,106.9,417.83
20240930,7,2,6.17,80.28,106.45,0.0,0.0,13.4,0.0
20240930,5,3,44.65,29.85,54.87,19.630000000000003,481.04,57.1,39.85
20240930,30,3,191.15,27.29,109.8,108.64,2219.85,29.0,0.88
20240930,1,2,29.38,93.48,88.19,34.67,762.65,68.8,11.18
20241031,19,3,102.6,25.29,101.78,26.109999999999985,396.1,66.3,75.23
20241031,23,2,73.15,44.2,46.44,70.91000000000001,2032.07,47.0,346.15
20241031,22,2,38.58,8.73,104.47,0.0,0.0,88.8,0.0
20241031,5,3,76.53,27.41,48.93,55.01,2110.04,38.4,421.89
20241031,16,1,41.1,90.9,13.25,118.75,3692.41,112.2,57.43
20241031,20,2,100.02,21.93,28.27,93.67999999999999,2637.33,21.7,374.85
20241031,1,3,58.36,43.06,102.58,0.0,0.0,49.4,0.0
20241031,29,2,194.97,3.35,15.99,182.32999999999998,6101.46,65.8,1058.04
20241031,2,1,151.61,10.87,57.33,105.15000000000002,2812.59,60.6,439.49
20241031,13,2,185.72,91.89,64.89,212.72000000000003,2955.21,14.4,551.52
20241130,6,3,2.81,63.43,114.96,0.0,0.0,54.0,0.0
20241130,16,1,37.47,30.38,96.04,0.0,0.0,101.7,0.0
20241130,15,1,38.79,17.19,60.77,0.0,0.0,101.8,0.0
20241130,23,3,161.31,45.64,74.76,132.19,4672.53,97.0,737.62
20241130,4,1,5.27,22.9,50.46,0.0,0.0,91.6,0.0
20241130,3,2,91.51,10.97,52.76,49.720000000000006,1912.32,54.6,371.57
20241130,12,2,104.86,38.08,48.14,94.8,2098.72,92.1,26.91
20241130,30,3,34.75,66.4,43.63,57.52,1280.08,11.2,55.1
20241130,29,1,197.91,91.08,119.83,169.16000000000003,1663.12,13.4,241.65
20241130,11,1,17.04,35.43,92.76,0.0,0.0,107.3,0.0
20241231,20,1,166.31,96.36,74.52,188.15000000000003,4589.97,34.8,395.96
20241231,27,3,82.83,9.23,53.7,38.36,1325.14,6.1,79.57
20241231,13,2,184.98,65.03,15.37,234.64,4521.72,19.6,341.43
20241231,25,2,175.26,46.99,12.77,209.48,2999.19,82.9,584.08
20241231,5,3,91.25,10.12,84.14,17.230000000000004,307.48,79.5,59.05
20241231,15,3,168.54,75.94,109.23,135.25,5200.03,68.8,102.02
20241231,8,3,29.06,35.74,60.72,4.079999999999998,51.09,118.1,7.0
20241231,4,1,118.17,88.74,79.85,127.06,1586.65,62.7,287.52
20241231,14,2,31.75,31.61,9.68,53.68,1637.21,86.3,127.98
20241231,16,1,117.54,6.62,16.2,107.96000000000001,3229.37,60.1,203.62
20250131,22,3,125.29,46.71,112.54,59.459999999999994,623.62,91.7,101.61
20250131,12,1,87.13,41.51,54.02,74.61999999999998,926.04,15.0,171.21
20250131,7,1,68.06,13.68,81.01,0.730000000000004,20.87,32.5,0.16
20250131,20,2,14.48,74.18,89.75,0.0,0.0,88.5,0.0
20250131,19,2,96.17,71.37,83.66,83.88000000000002,1951.11,8.2,123.06
20250131,18,2,197.93,11.77,9.55,200.15,1164.14,51.2,212.24
20250131,23,1,144.84,61.29,103.29,102.83999999999999,1030.84,39.9,24.26
20250131,28,3,70.94,41.07,72.12,39.889999999999986,272.2,80.6,43.32
20250131,16,1,80.45,7.17,106.08,0.0,0.0,104.5,0.0
20250131,14,2,137.32,96.12,76.99,156.45,5369.86,83.5,158.03
20250228,6,1,190.95,72.0,1.21,261.74,2759.34,69.4,495.51
20250228,8,3,184.36,28.32,6.67,206.01000000000002,7526.34,64.4,1432.23
20250228,16,2,119.0,98.44,86.02,131.42000000000002,3073.46,102.5,33.44
20250228,11,1,42.73,1.82,76.59,0.0,0.0,91.2,0.0
20250228,1,1,148.2,41.26,113.01,76.44999999999997,665.81,65.3,65.94
20250228,27,2,134.67,28.69,2.71,160.64999999999998,3821.84,85.7,639.28
20250228,24,2,151.17,65.61,100.36,116.41999999999997,2088.85,108.0,189.6
20250228,21,2,194.36,25.87,69.36,150.87,4060.36,104.5,464.73
20250228,10,1,60.84,79.78,68.41,72.21000000000001,1145.99,102.5,164.07
20250228,7,1,171.51,76.64,48.07,200.07999999999998,3037.12,42.2,358.87
20250331,3,2,136.25,97.27,109.07,124.44999999999999,2460.31,105.8,304.42
20250331,23,2,75.09,30.23,102.74,2.5800000000000125,94.21,88.8,1.83
20250331,28,2,157.54,99.03,7.81,248.76,3873.35,82.9,32.91
20250331,14,3,140.97,38.93,115.41,64.49000000000001,1789.11,69.2,36.98
20250331,2,2,122.59,65.7,116.04,72.25000000000001,2676.68,84.6,453.81
20250331,26,1,163.64,38.15,55.72,146.07,2583.0,36.7,46.59
20250331,21,1,142.82,47.34,58.28,131.88,3790.27,35.7,702.63
20250331,6,1,107.76,56.47,79.13,85.10000000000002,1103.02,74.3,56.02
20250331,5,3,10.46,91.6,16.87,85.19,2609.04,92.4,372.79
20250331,22,2,145.59,32.76,57.79,120.56,1791.43,58.7,210.2
20250430,30,3,116.57,33.5,113.96,36.11,451.56,20.5,88.68
20250430,3,1,32.91,42.41,48.38,26.93999999999999,302.37,80.6,25.75
20250430,20,2,78.41,78.22,110.08,46.55,303.55,104.6,37.24
20250430,29,3,30.45,54.8,95.44,0.0,0.0,100.9,0.0
20250430,24,3,26.32,8.99,4.05,31.26,1011.52,105.9,174.27
20250430,6,2,73.89,79.4,86.45,66.84000000000002,1418.99,111.6,126.58
20250430,23,1,129.12,6.46,6.22,129.36,4800.4,20.7,500.63
20250430,27,2,81.26,73.11,60.84,93.53,2140.09,97.7,368.98
20250430,5,1,141.57,25.22,74.88,91.91,1489.96,48.8,99.95
20250430,11,1,193.92,74.12,115.03,153.00999999999996,5216.89,89.4,401.17
20250531,4,1,41.78,30.29,67.03,5.039999999999992,96.82,31.3,8.2
20250531,28,1,35.04,31.76,32.15,34.65,833.75,91.9,160.5
20250531,7,3,176.47,99.04,75.95,199.56,5163.32,42.9,835.15
20250531,16,1,171.32,34.67,96.69,109.30000000000001,2417.26,99.7,167.44
20250531,5,1,104.76,28.97,103.46,30.270000000000024,355.67,94.9,10.39
20250531,25,3,6.51,93.16,64.94,34.730000000000004,1032.05,54.0,147.18
20250531,18,3,193.61,17.8,82.27,129.14000000000004,3201.2,42.6,501.53
20250531,30,3,127.49,9.15,45.85,90.78999999999999,1484.32,16.8,267.98
20250531,23,1,40.72,25.79,76.18,0.0,0.0,22.1,0.0
20250531,26,1,123.91,92.85,111.03,105.72999999999999,3409.85,9.2,473.02
20250630,16,2,27.65,69.03,69.03,27.650000000000006,413.05,52.8,73.84
20250630,15,3,123.33,73.67,100.17,96.83,2031.48,96.5,251.66
20250630,28,3,174.0,66.36,0.82,239.54000000000002,4017.01,74.3,442.5
20250630,22,1,117.29,59.65,92.73,84.21,601.18,48.3,102.56
20250630,11,1,77.95,86.57,48.7,115.81999999999998,3920.12,88.7,266.64
20250630,29,1,10.95,9.7,102.33,0.0,0.0,58.8,0.0
20250630,3,1,0.16,94.91,33.16,61.91,1358.41,60.2,180.54
20250630,12,3,83.99,65.26,110.52,38.730000000000004,797.9,5.6,149.91
20250630,23,1,11.33,5.35,118.64,0.0,0.0,12.6,0.0
20250630,26,1,179.38,61.41,52.07,188.72,2073.78,37.6,410.37
20250731,11,2,158.59,9.28,96.85,71.02000000000001,545.77,10.8,25.46
20250731,12,3,190.15,81.67,115.76,156.06,1003.07,106.5,45.53
20250731,4,1,192.78,64.77,36.97,220.58,5677.89,37.3,710.66
20250731,30,2,98.14,5.89,24.98,79.05,2884.71,115.2,120.36
20250731,21,3,171.88,68.88,22.09,218.67,4146.92,28.6,775.39
20250731,15,3,136.97,92.55,30.21,199.30999999999997,5699.77,116.7,920.42
20250731,2,1,71.21,26.9,12.16,85.94999999999999,1630.94,112.9,140.74
20250731,7,2,42.3,22.74,115.24,0.0,0.0,12.0,0.0
20250731,9,3,85.15,9.99,61.35,33.79,624.49,105.2,22.04
20250731,23,1,67.8,76.25,118.42,25.63000000000001,349.25,76.8,2.58
20250831,19,2,23.64,35.2,23.04,35.800000000000004,1356.03,32.8,191.93
20250831,26,2,189.17,78.56,12.5,255.23000000000002,2457.12,93.1,389.42
20250831,21,3,184.38,15.9,52.01,148.27,3863.04,32.3,5.52
20250831,5,3,99.06,47.01,103.85,42.22,1127.4,46.9,52.45
20250831,22,1,159.53,63.01,68.22,154.32,3085.46,67.2,579.09
20250831,27,2,38.9,59.51,12.05,86.36,1112.59,82.2,105.11
20250831,9,2,75.76,44.93,37.52,83.16999999999999,1770.9,88.0,12.77
20250831,3,2,50.71,15.56,44.06,22.209999999999994,273.05,94.2,3.71
20250831,23,1,190.7,10.95,7.64,194.01,5174.21,14.3,274.03
20250831,16,3,38.37,92.33,37.4,93.29999999999998,3212.69,11.5,88.67
20250930,23,2,113.63,87.16,59.92,140.87,5145.42,26.1,648.35
20250930,9,2,60.53,7.82,12.66,55.69,1592.35,49.3,193.7
20250930,4,3,143.19,50.82,22.7,171.31,1642.94,63.0,93.88
20250930,11,1,104.15,75.77,91.68,88.24000000000001,2724.77,109.2,236.53
20250930,29,1,171.61,69.65,107.67,133.59000000000003,4727.4,97.6,25.89
20250930,14,3,111.46,90.82,88.17,114.10999999999997,2735.22,56.6,36.25
20250930,26,1,15.23,36.76,10.42,41.56999999999999,1461.2,79.3,259.1
20250930,6,2,192.56,28.3,95.45,125.41000000000001,899.58,41.5,123.63
20250930,5,1,128.47,97.44,80.5,145.41,1373.63,87.0,114.69
20250930,12,3,193.67,22.17,53.07,162.76999999999998,2506.24,40.4,343.82
20251031,22,2,130.75,95.83,70.16,156.42,1785.62,108.3,54.02
20251031,12,2,39.85,47.29,77.47,9.670000000000002,310.86,23.1,25.57
20251031,28,2,12.63,28.79,30.66,10.760000000000002,339.94,19.0,24.43
20251031,2,2,145.21,40.46,46.77,138.9,2264.06,31.3,430.24
20251031,8,2,69.96,50.02,118.19,1.789999999999992,45.89,89.4,7.76
20251031,17,3,113.24,91.34,26.37,178.20999999999998,2561.38,57.8,477.92
20251031,19,2,148.99,57.72,94.27,112.44000000000001,4375.84,43.5,616.33
20251031,7,1,24.73,86.37,100.47,10.63000000000001,136.16,11.3,14.51
20251031,10,1,28.98,83.61,9.84,102.75,1183.92,103.3,182.22
20251031,16,1,178.56,90.62,94.08,175.10000000000002,4846.97,57.0,135.13
20251130,3,1,158.7,66.23,62.08,162.85000000000002,5460.05,30.1,102.89
20251130,25,2,65.17,80.69,78.36,67.50000000000001,563.12,119.1,101.69
20251130,26,2,160.32,75.84,73.29,162.87,3941.61,80.1,377.74
20251130,19,1,71.25,52.29,4.45,119.08999999999999,3860.33,105.3,624.4
20251130,15,1,11.45,93.24,49.09,55.599999999999994,921.64,114.8,14.24
20251130,7,1,124.43,95.16,45.36,174.23000000000002,1761.48,105.7,271.48
20251130,22,3,195.16,38.5,92.85,140.81,3528.04,35.8,479.75
20251130,4,2,185.35,69.54,108.24,146.64999999999998,5377.94,21.5,390.14
20251130,21,3,111.51,36.22,56.1,91.63000000000002,1139.22,47.3,136.98
20251130,1,2,36.95,64.35,81.83,19.47,689.41,108.5,22.84
20251231,20,2,83.58,45.21,107.11,21.679999999999993,209.57,95.8,20.41
20251231,5,1,27.06,3.73,102.39,0.0,0.0,59.7,0.0
20251231,12,3,102.36,13.03,57.48,57.910000000000004,1666.35,63.9,197.54
20251231,6,1,176.43,49.5,105.32,120.61000000000001,2735.1,63.1,361.87
20251231,7,2,41.05,5.31,42.15,4.210000000000001,100.63,109.7,19.93
20251231,29,2,87.84,90.83,81.1,97.57000000000002,3475.9,107.3,568.63
20251231,2,2,113.13,40.49,57.06,96.56,961.29,100.5,39.01
20251231,30,2,176.18,70.92,69.0,178.10000000000002,4485.51,33.8,362.56
20251231,23,2,165.19,8.82,23.18,150.82999999999998,2530.75,65.5,484.57
20251231,21,1,127.97,27.18,107.57,47.58000000000001,1469.48,112.6,271.77
