datekey,productkey,warehousekey,producedqty,scrapqty,machinehours,downtimehours
20240126,6,1,74.5,1.93,17.9,1.36
20240129,1,2,39.0,0.05,2.23,0.44
20240129,27,3,23.27,2.07,3.53,2.03
20240129,19,3,121.12,4.03,13.02,2.84
20240129,25,2,61.16,4.06,3.33,0.49
20240129,14,1,5.44,0.19,16.96,2.06
20240130,12,3,37.81,1.82,14.67,0.6
20240130,30,3,30.59,1.4,17.84,1.35
20240130,8,1,71.31,6.45,12.51,0.64
20240130,2,2,92.88,7.55,6.43,0.58
20240130,24,2,37.6,3.39,3.46,2.06
20240131,18,2,9.38,0.37,10.25,2.82
20240131,19,3,120.76,1.48,9.19,2.43
20240131,1,1,81.53,4.76,14.38,2.79
20240131,4,2,115.38,2.2,12.92,2.82
20240131,24,2,104.28,0.81,16.86,0.85
20240201,26,1,130.29,7.2,11.07,2.35
20240201,7,2,130.31,9.58,17.65,1.7
20240201,25,1,82.05,3.79,3.47,2.22
20240201,17,2,15.28,1.4,1.99,1.24
20240201,9,1,28.35,0.7,6.19,2.03
20240202,28,1,141.57,7.83,12.69,0.7
20240202,24,1,31.51,2.14,10.25,2.01
20240202,19,1,48.97,2.57,7.2,2.71
20240202,25,1,91.88,7.64,12.13,1.59
20240202,22,3,50.93,3.81,2.29,2.86
20240205,18,2,51.33,2.51,8.66,0.4
20240205,1,1,69.39,0.36,8.89,1.17
20240205,11,2,5.72,0.46,10.1,0.88
20240205,20,1,79.56,4.98,19.4,2.78
20240205,3,3,134.66,8.21,12.47,1.86
20240206,29,1,29.34,1.93,10.28,1.81
20240206,21,1,76.55,7.12,15.82,2.35
20240206,9,1,36.56,0.03,19.81,1.29
20240206,15,1,137.46,8.14,12.14,0.29
20240206,14,2,89.22,4.17,15.93,1.37
20240207,29,1,3.07,0.02,4.29,2.23
20240207,28,1,142.69,2.37,17.44,2.72
20240207,22,2,72.92,2.06,19.99,0.03
20240207,15,1,19.26,0.14,5.19,2.09
20240207,7,3,63.98,4.1,15.17,1.66
20240208,14,1,92.36,2.85,14.13,1.75
20240208,28,2,23.92,0.6,18.56,1.67
20240208,1,3,76.14,5.03,5.86,2.09
20240208,29,1,108.9,6.17,10.66,1.98
20240208,16,3,5.82,0.55,4.79,2.62
20240209,1,2,85.51,7.67,13.17,2.42
20240209,12,1,6.24,0.34,15.61,1.41
20240209,8,3,87.46,6.91,5.41,1.06
20240209,10,2,10.73,0.24,13.66,2.51
20240209,16,3,25.27,1.15,6.71,1.99
20240212,11,2,19.77,1.44,12.27,0.23
20240212,28,3,126.37,8.26,18.12,1.44
20240212,8,2,27.9,0.39,5.46,2.57
20240212,24,3,24.2,0.34,8.86,2.7
20240212,20,3,142.66,1.59,19.99,0.33
20240213,18,1,50.88,0.53,10.35,0.28
20240213,3,2,23.01,1.48,7.09,0.56
20240213,7,2,140.95,7.54,7.96,0.53
20240213,25,1,140.25,12.27,17.74,1.95
20240213,27,3,50.71,3.14,8.5,0.93
20240214,9,2,87.65,4.27,11.42,0.66
20240214,10,2,25.71,1.25,19.2,0.25
20240214,1,1,101.79,3.1,7.67,2.81
20240214,2,2,55.42,4.59,1.18,1.96
20240214,11,1,3.83,0.21,8.7,1.04
20240215,6,1,96.27,1.54,17.83,1.39
20240215,7,1,39.24,2.05,19.64,0.89
20240215,2,2,7.29,0.05,8.67,0.41
20240215,10,2,3.0,0.18,3.67,0.16
20240215,5,1,79.18,7.09,14.1,2.04
20240216,29,3,33.93,1.3,6.65,1.98
20240216,15,2,32.96,0.06,12.18,2.22
20240216,11,1,4.04,0.2,13.41,2.76
20240216,5,1,94.55,4.66,13.23,2.75
20240216,3,2,133.47,10.18,3.58,1.56
20240219,20,3,28.79,1.6,4.31,0.76
20240219,6,1,73.86,1.04,10.55,0.03
20240219,15,2,52.83,0.5,10.08,0.83
20240219,19,2,4.86,0.31,19.92,2.65
20240219,16,3,126.68,6.53,7.8,0.57
20240220,14,3,110.69,6.2,3.2,0.08
20240220,10,1,84.93,8.17,11.07,2.81
20240220,24,3,89.35,6.52,13.75,1.33
20240220,1,2,144.28,4.79,17.61,0.87
20240220,22,1,83.8,4.66,7.37,0.03
20240221,26,3,30.74,0.94,2.75,2.36
20240221,16,3,97.99,5.46,12.14,1.22
20240221,6,3,106.71,4.48,2.06,2.34
20240221,3,2,34.79,1.92,5.19,0.5
20240221,30,2,114.7,2.65,19.53,2.68
20240222,20,3,21.39,0.75,16.63,1.52
20240222,29,2,114.98,5.44,18.39,2.11
20240222,23,3,91.01,3.24,7.18,1.34
20240222,16,2,35.68,3.01,5.35,0.09
20240222,14,2,104.21,2.63,4.59,1.72
20240223,1,2,130.76,3.25,11.85,1.71
20240223,29,3,115.8,2.15,15.32,0.41
20240223,16,1,18.52,0.27,13.89,1.36
20240223,21,3,1.24,0.03,13.06,1.95
20240223,27,1,78.79,7.67,12.55,1.42
20240226,2,1,8.68,0.31,2.16,2.54
20240226,22,1,4.57,0.38,6.46,2.64
20240226,6,2,114.15,10.39,14.13,1.42
20240226,24,3,69.3,1.3,3.65,1.65
20240226,14,1,99.69,4.83,4.91,1.21
20240227,10,2,106.88,9.33,13.56,0.48
20240227,5,1,77.22,5.13,1.37,2.17
20240227,4,3,104.4,4.13,2.71,2.9
20240227,15,2,143.27,2.68,5.03,2.73
20240227,18,3,80.28,4.84,2.69,2.97
20240228,17,1,136.41,4.08,7.25,0.39
20240228,2,2,115.81,7.39,10.42,0.03
20240228,19,1,37.7,0.42,1.64,2.2
20240228,29,1,126.92,9.81,11.67,0.86
20240228,18,1,10.3,0.91,3.39,1.41
20240229,2,3,10.65,0.24,14.24,2.72
20240229,8,2,98.38,5.72,16.3,1.3
20240229,18,2,67.57,2.86,10.87,1.47
20240229,20,3,97.58,0.7,1.57,0.12
20240229,22,1,81.33,7.81,6.16,1.12
20240301,16,2,130.58,11.5,18.02,0.26
20240301,25,2,14.63,1.19,10.19,1.8
20240301,9,1,119.42,9.2,12.64,0.73
20240301,10,3,55.51,1.3,10.19,1.19
20240301,17,1,3.71,0.12,9.45,0.45
20240304,30,2,24.99,2.29,16.55,1.81
20240304,26,1,132.08,9.47,16.19,2.32
20240304,23,1,142.68,9.28,18.86,1.31
20240304,2,2,33.26,1.19,8.41,1.74
20240304,28,3,80.6,2.27,3.54,0.61
20240305,10,1,119.8,1.71,15.34,1.75
20240305,19,1,61.39,5.38,6.83,0.9
20240305,2,1,0.96,0.01,1.35,1.11
20240305,27,2,50.59,4.38,18.3,1.83
20240305,28,1,10.53,0.24,9.62,2.35
20240306,6,3,113.28,4.58,11.21,0.07
20240306,18,2,29.2,0.99,14.08,2.73
20240306,13,1,3.5,0.04,10.74,1.22
20240306,16,2,48.56,0.18,9.12,1.43
20240306,11,1,30.25,0.79,8.83,0.88
20240307,5,2,53.75,2.62,9.18,1.18
20240307,2,2,52.36,0.42,4.93,0.68
20240307,1,2,103.97,4.82,17.29,2.5
20240307,30,2,112.02,2.6,14.42,1.71
20240307,15,2,100.97,4.51,18.13,1.28
20240308,6,3,74.04,5.73,10.16,2.16
20240308,1,2,8.55,0.53,18.39,0.09
20240308,27,3,89.74,3.13,2.62,2.83
20240308,9,3,139.78,1.21,13.55,1.29
20240308,12,1,92.46,1.3,13.7,0.37
20240311,7,3,1.61,0.11,9.24,1.41
20240311,13,3,32.81,0.65,5.5,1.02
20240311,5,3,8.07,0.5,9.81,1.16
20240311,9,3,143.0,9.66,8.32,2.54
20240311,22,1,39.63,0.36,7.02,2.91
20240312,7,3,146.01,4.58,6.7,0.21
20240312,23,1,126.39,0.85,15.55,0.07
20240312,27,2,142.37,3.28,8.94,0.96
20240312,20,3,35.32,3.29,13.2,0.93
20240312,15,2,62.35,0.72,7.5,2.2
20240313,19,3,131.09,0.13,10.87,0.22
20240313,22,1,53.47,0.75,4.19,0.06
20240313,25,2,63.47,2.62,10.93,2.1
20240313,16,1,92.08,3.58,19.96,0.87
20240313,7,1,36.52,0.73,5.31,0.37
20240314,26,2,59.99,5.91,2.64,1.41
20240314,15,2,28.59,1.05,5.48,1.23
20240314,27,1,40.51,1.25,4.13,2.37
20240314,21,2,71.98,5.99,11.18,0.04
20240314,10,2,113.04,0.65,12.58,2.05
20240315,11,1,0.14,0.01,9.62,2.49
20240315,6,2,46.83,3.5,10.47,2.15
20240315,29,1,42.93,1.52,11.41,0.13
20240315,12,1,149.13,11.74,10.86,2.95
20240315,3,2,4.88,0.13,18.62,2.64
20240318,13,1,13.66,0.72,2.02,1.11
20240318,7,2,112.87,7.61,3.62,2.36
20240318,18,3,3.29,0.27,7.21,2.68
20240318,14,3,79.92,1.54,11.6,1.98
20240318,3,2,12.83,1.23,3.67,1.63
20240319,26,2,58.36,0.17,7.83,1.74
20240319,4,1,25.2,1.84,15.64,0.59
20240319,20,2,72.13,5.08,17.88,1.03
20240319,9,3,90.91,1.72,8.13,2.1
20240319,15,1,91.24,0.75,18.17,1.66
20240320,8,1,69.43,2.64,15.58,1.94
20240320,4,2,76.88,5.56,11.81,2.66
20240320,18,2,105.29,4.9,12.33,2.51
20240320,21,2,57.45,2.99,1.62,2.83
20240320,19,2,110.84,6.63,19.81,1.31
20240321,5,1,147.92,9.47,6.78,1.43
20240321,4,2,112.32,11.23,18.51,1.56
20240321,30,1,7.71,0.72,13.35,1.52
20240321,13,1,99.22,7.98,18.54,0.37
20240321,28,1,23.54,1.91,1.96,1.6
20240322,11,3,78.48,5.46,5.24,0.4
20240322,19,1,108.95,4.88,19.11,1.99
20240322,27,3,27.03,1.07,16.7,1.31
20240322,21,3,68.38,2.72,7.96,0.01
20240322,16,3,12.08,0.81,14.86,1.85
20240325,28,3,106.28,0.65,16.13,2.73
20240325,13,3,9.01,0.34,11.89,0.71
20240325,4,1,36.76,2.7,9.19,2.08
20240325,20,1,59.97,2.04,5.86,2.86
20240325,23,1,12.29,0.69,14.91,0.64
20240326,3,3,21.26,0.99,4.38,1.18
20240326,25,1,73.28,4.9,12.9,1.86
20240326,6,1,149.72,8.51,13.54,0.73
20240326,1,2,136.07,0.21,14.53,1.62
20240326,28,1,48.03,2.1,4.52,2.35
20240327,13,1,38.67,2.25,12.27,2.62
20240327,25,2,146.66,14.25,16.57,1.77
20240327,26,2,41.58,2.75,9.04,0.63
20240327,28,3,93.62,1.63,11.03,3.0
20240327,14,1,27.78,0.62,9.98,1.9
20240328,27,2,3.2,0.26,19.7,2.34
20240328,25,1,10.7,0.07,13.72,2.07
20240328,22,1,58.43,0.94,12.19,0.61
20240328,24,1,82.2,2.11,19.95,0.84
20240328,28,3,134.86,12.54,7.67,0.24
20240329,26,1,115.93,7.9,11.66,1.32
20240329,22,2,3.16,0.25,17.92,1.37
20240329,29,1,33.7,0.45,13.96,0.66
20240329,11,3,111.45,0.18,1.31,0.71
20240329,6,1,46.36,1.82,6.54,0.68
20240401,1,1,33.23,2.97,11.65,2.52
20240401,23,1,103.83,8.44,9.05,0.12
20240401,3,3,1.96,0.03,11.03,1.52
20240401,11,3,117.94,7.22,13.09,0.9
20240401,22,3,130.32,0.81,17.6,2.03
20240402,25,3,88.89,5.8,17.71,0.85
20240402,2,3,110.61,4.22,16.19,1.15
20240402,13,2,9.69,0.11,18.3,2.52
20240402,15,2,20.81,0.86,4.42,0.91
20240402,30,1,147.23,7.94,18.45,1.32
20240403,5,3,29.77,1.24,11.44,2.07
20240403,16,3,8.3,0.37,16.68,0.9
20240403,25,1,15.33,1.38,1.31,2.27
20240403,29,3,101.93,2.08,8.55,2.76
20240403,11,3,20.22,1.77,15.87,2.16
20240404,19,3,45.21,3.07,18.51,0.99
20240404,25,2,75.38,7.25,5.26,1.08
20240404,24,1,59.4,1.88,8.38,2.64
20240404,12,3,135.19,11.48,13.88,1.62
20240404,8,1,56.14,3.65,18.64,2.4
20240405,13,2,94.04,8.83,18.7,2.48
20240405,4,2,16.35,1.54,2.85,1.69
20240405,1,3,51.23,0.24,16.27,1.67
20240405,27,2,25.44,0.69,8.95,1.35
20240405,29,2,135.45,4.75,3.47,0.03
20240408,19,2,125.44,0.98,17.01,2.19
20240408,8,1,86.87,2.26,5.78,1.39
20240408,30,2,22.38,0.73,12.18,1.87
20240408,25,3,106.19,6.53,17.76,2.26
20240408,24,2,148.73,1.33,11.12,1.27
20240409,27,3,16.52,0.65,16.07,0.55
20240409,12,3,99.25,5.08,18.12,2.01
20240409,13,3,72.52,6.01,12.62,0.32
20240409,7,2,18.96,1.45,14.14,1.07
20240409,30,3,82.62,7.24,10.54,2.04
20240410,17,2,28.89,1.91,14.59,1.99
20240410,6,1,52.4,0.21,13.41,2.33
20240410,28,3,113.11,9.59,12.85,0.87
20240410,7,3,62.17,4.32,1.86,1.43
20240410,4,1,132.78,3.14,8.17,1.97
20240411,19,3,49.37,0.18,9.27,1.15
20240411,15,1,17.67,0.27,3.3,2.78
20240411,29,3,99.35,8.17,14.64,2.02
20240411,22,3,12.96,0.84,8.45,2.81
20240411,17,3,76.2,2.05,17.87,0.48
20240412,8,2,45.68,1.42,2.3,1.38
20240412,29,3,113.74,3.6,12.28,1.1
20240412,30,3,68.75,0.46,19.27,0.25
20240412,28,1,44.18,4.19,13.23,0.93
20240412,17,3,10.67,0.99,8.34,0.36
20240415,11,3,132.19,2.89,18.37,0.69
20240415,28,1,125.7,6.62,14.29,2.41
20240415,3,1,45.26,2.64,18.38,1.18
20240415,22,1,1.68,0.01,10.25,1.3
20240415,21,2,140.99,7.23,17.66,0.21
20240416,29,3,125.84,3.62,19.96,0.15
20240416,10,3,114.69,8.53,14.57,2.87
20240416,24,2,15.45,1.24,10.55,0.51
20240416,30,2,117.22,1.64,5.97,0.48
20240416,2,3,93.16,0.7,17.05,2.82
20240417,14,3,71.35,4.79,10.97,0.74
20240417,26,1,47.34,2.85,10.41,2.1
20240417,25,2,93.28,7.03,19.51,0.62
20240417,10,2,52.75,3.05,4.77,0.77
20240417,28,3,28.05,2.73,11.42,0.27
20240418,16,2,111.81,8.57,9.22,2.66
20240418,4,3,100.18,1.36,12.47,2.45
20240418,13,2,96.99,4.42,10.86,1.42
20240418,19,2,70.32,4.01,7.77,1.9
20240418,9,1,13.95,1.04,8.95,1.27
20240419,21,3,65.08,0.08,3.8,0.86
20240419,14,3,88.52,8.28,9.84,2.85
20240419,5,2,20.27,0.72,13.67,1.17
20240419,4,3,87.64,6.76,10.49,0.2
20240419,7,3,42.78,2.53,5.74,0.61
20240422,8,1,92.55,7.56,9.2,0.09
20240422,13,1,46.78,1.27,3.15,2.86
20240422,25,3,86.68,5.95,10.42,2.48
20240422,29,3,38.78,2.44,7.24,1.09
20240422,28,3,92.56,0.73,1.73,1.84
20240423,28,3,42.22,3.5,3.71,1.14
20240423,15,1,48.84,4.36,19.31,0.41
20240423,27,3,33.15,0.58,19.89,1.22
20240423,10,3,72.85,5.07,2.12,2.36
20240423,3,1,17.88,0.77,7.41,2.86
20240424,22,2,92.7,4.34,16.41,1.72
20240424,8,1,95.89,5.85,7.56,0.49
20240424,5,2,106.41,6.32,2.9,2.4
20240424,14,2,47.11,1.24,10.34,0.17
20240424,3,2,138.96,11.7,11.62,1.45
20240425,8,1,121.61,5.08,3.46,2.45
20240425,26,3,61.27,1.51,18.48,2.57
20240425,23,1,115.73,5.24,3.79,1.63
20240425,1,1,66.49,6.16,4.03,2.38
20240425,21,3,26.44,2.0,15.78,0.73
20240426,1,3,68.36,1.18,19.15,0.9
20240426,24,2,73.93,5.43,11.24,2.55
20240426,19,3,108.39,9.16,19.26,2.67
20240426,13,2,129.59,1.97,1.2,0.65
20240426,25,3,13.75,1.37,10.22,0.34
20240429,15,1,101.67,5.45,19.55,2.3
20240429,25,1,71.73,4.88,9.94,0.81
20240429,10,2,52.4,4.09,6.18,2.08
20240429,22,2,124.9,9.04,11.37,2.48
20240429,29,3,95.74,2.05,9.12,0.89
20240430,2,2,82.49,4.58,18.25,1.02
20240430,12,3,40.56,1.96,13.0,2.82
20240430,20,1,80.64,2.39,8.15,1.63
20240430,29,3,86.09,1.24,17.01,1.57
20240430,21,3,136.31,1.19,19.84,0.11
20240501,6,1,84.82,0.48,4.85,1.71
20240501,5,2,68.62,6.77,13.01,2.38
20240501,30,1,31.66,1.4,11.31,1.07
20240501,27,3,127.51,4.35,12.04,2.02
20240501,18,2,73.22,6.33,2.79,1.51
20240502,26,3,103.52,8.98,14.83,1.84
20240502,29,3,74.95,5.33,13.76,1.36
20240502,5,3,78.15,6.71,5.74,0.73
20240502,25,2,56.89,2.95,13.75,2.64
20240502,8,1,135.79,2.25,9.48,2.98
20240503,30,2,74.87,3.64,1.63,2.44
20240503,22,1,86.85,4.39,18.25,1.35
20240503,29,2,5.85,0.08,9.22,0.27
20240503,21,1,108.02,2.8,9.03,0.69
20240503,19,3,36.67,2.73,2.67,2.81
20240506,27,1,38.39,2.25,17.31,0.27
20240506,10,1,95.98,5.15,13.41,1.24
20240506,13,2,28.39,1.88,5.94,0.36
20240506,3,3,98.22,8.58,16.48,2.87
20240506,5,3,62.3,4.55,7.06,0.31
20240507,18,1,0.94,0.06,2.75,1.89
20240507,11,3,24.96,1.67,15.1,1.64
20240507,23,3,140.42,0.98,6.9,1.83
20240507,17,1,142.92,7.85,16.44,0.89
20240507,2,1,48.68,3.5,10.02,0.67
20240508,25,2,70.63,3.41,4.58,0.14
20240508,20,2,104.65,5.78,17.17,1.26
20240508,17,1,102.46,8.54,6.48,0.02
20240508,2,2,33.94,0.0,7.22,1.52
20240508,14,2,39.12,0.03,12.43,2.91
20240509,12,3,70.87,4.48,11.76,0.39
20240509,22,1,86.75,1.97,13.86,2.24
20240509,6,2,72.1,3.89,6.17,0.22
20240509,4,2,28.44,1.29,5.62,1.98
20240509,15,2,108.9,6.86,14.39,1.34
20240510,21,3,140.41,4.21,16.19,2.62
20240510,9,2,136.6,8.0,16.63,1.1
20240510,1,2,85.78,0.2,19.25,0.44
20240510,4,1,82.5,2.07,10.02,1.08
20240510,17,1,131.77,10.1,7.59,0.52
20240513,22,3,8.88,0.86,19.78,1.55
20240513,10,1,120.92,10.16,13.0,0.72
20240513,25,1,9.02,0.26,17.83,1.93
20240513,15,1,56.98,3.37,15.14,2.63
20240513,4,1,109.15,3.44,9.73,2.32
20240514,15,1,121.97,5.56,1.17,1.23
20240514,11,2,124.15,10.56,2.33,1.73
20240514,25,1,1.7,0.11,8.58,2.07
20240514,28,2,75.35,7.18,3.38,2.53
20240514,5,2,131.9,13.09,18.62,1.31
20240515,18,2,51.1,3.05,15.34,1.31
20240515,28,2,24.32,0.35,10.36,1.66
20240515,19,3,108.72,8.58,5.86,0.34
20240515,4,2,128.3,4.88,16.34,2.02
20240515,8,3,5.53,0.22,15.48,0.17
20240516,28,3,63.88,4.33,2.67,2.23
20240516,20,2,10.9,0.13,18.48,0.16
20240516,10,3,100.98,5.84,3.88,1.98
20240516,14,1,64.38,1.29,3.76,1.56
20240516,3,3,99.23,6.02,12.42,1.53
20240517,26,2,72.87,5.45,1.8,1.69
20240517,27,2,136.24,7.33,18.55,1.16
20240517,3,2,10.13,0.44,4.99,2.45
20240517,7,2,148.91,3.61,12.86,2.16
20240517,25,1,72.15,4.48,12.31,0.89
20240520,18,2,122.81,4.21,5.17,1.65
20240520,8,3,28.8,2.38,15.47,2.62
20240520,20,1,135.74,3.98,19.68,2.5
20240520,15,1,52.57,0.44,13.08,2.03
20240520,22,3,83.46,5.92,17.67,0.16
20240521,6,3,9.66,0.36,6.81,0.59
20240521,24,2,51.65,2.32,8.51,2.33
20240521,27,3,37.09,3.19,1.34,0.26
20240521,10,1,74.52,7.36,15.94,0.82
20240521,17,3,137.36,6.71,8.01,0.91
20240522,27,1,69.64,6.16,1.99,2.89
20240522,15,1,38.24,1.44,7.75,0.94
20240522,20,3,94.62,1.94,10.02,2.93
20240522,6,3,10.71,0.22,3.25,1.39
20240522,28,3,68.37,0.76,6.95,1.58
20240523,4,3,149.52,5.91,5.12,0.49
20240523,15,1,82.66,0.85,12.03,0.83
20240523,2,1,120.45,8.55,5.92,1.03
20240523,7,1,95.33,7.74,9.82,0.83
20240523,26,3,129.87,4.49,4.85,1.86
20240524,21,3,19.94,0.07,6.36,2.92
20240524,18,1,149.4,9.14,4.78,1.45
20240524,15,1,55.08,3.15,17.64,1.8
20240524,19,3,61.57,4.11,1.16,1.25
20240524,23,1,128.3,1.1,7.56,1.58
20240527,13,1,35.68,1.3,11.5,2.4
20240527,12,3,101.63,6.85,14.02,2.25
20240527,4,2,59.98,0.18,9.04,2.05
20240527,3,2,72.01,5.74,13.15,0.56
20240527,30,2,2.66,0.14,6.19,2.16
20240528,7,3,63.76,1.57,12.57,2.69
20240528,18,2,79.44,6.18,17.23,1.27
20240528,2,3,142.58,0.19,13.91,2.18
20240528,30,2,99.38,4.5,16.74,0.19
20240528,1,1,121.63,2.41,1.13,1.98
20240529,20,1,62.85,0.26,6.13,1.44
20240529,29,1,49.0,1.62,17.9,0.1
20240529,4,3,31.16,1.58,17.65,1.45
20240529,14,1,134.96,0.13,13.55,1.05
20240529,11,2,141.16,5.15,13.4,0.33
20240530,18,1,97.87,9.11,12.2,2.3
20240530,15,1,33.73,1.2,13.61,2.64
20240530,17,1,96.94,2.5,4.25,2.32
20240530,19,1,96.74,0.81,4.29,0.91
20240530,1,1,21.16,1.09,13.09,0.61
20240531,23,1,35.83,0.5,10.34,1.27
20240531,1,3,2.2,0.06,13.34,2.09
20240531,7,3,39.55,1.96,13.43,0.69
20240531,13,3,94.93,4.87,3.3,0.09
20240531,21,3,66.73,4.27,11.57,2.42
20240603,27,2,79.15,2.69,19.76,0.59
20240603,18,3,97.6,7.12,7.66,2.33
20240603,16,3,44.58,2.03,15.84,2.04
20240603,14,3,113.98,7.79,4.78,2.22
20240603,13,2,130.13,2.66,5.04,2.12
20240604,11,1,143.57,13.34,2.85,2.83
20240604,1,1,59.26,4.74,14.82,2.32
20240604,14,3,113.19,9.5,19.63,1.06
20240604,2,2,93.78,2.2,16.43,0.5
20240604,8,1,1.92,0.05,13.35,2.42
20240605,26,1,27.98,0.36,17.89,1.83
20240605,28,2,20.24,1.05,1.49,0.55
20240605,1,2,111.75,0.18,14.6,0.99
20240605,6,1,0.55,0.01,5.5,1.89
20240605,15,3,39.67,0.04,15.79,1.73
20240606,12,3,85.24,3.05,8.22,2.69
20240606,14,2,90.95,6.13,10.95,0.27
20240606,15,2,9.61,0.84,1.72,0.48
20240606,28,3,21.76,1.22,6.67,2.16
20240606,27,1,31.8,0.93,4.87,0.38
20240607,25,1,96.98,2.81,18.46,1.86
20240607,8,2,0.22,0.0,3.45,0.6
20240607,29,1,87.2,7.59,10.32,0.55
20240607,27,1,3.59,0.16,3.91,0.06
20240607,2,3,25.83,0.92,12.29,0.25
20240610,14,3,118.21,3.14,11.01,0.84
20240610,1,1,74.02,1.82,7.66,2.93
20240610,23,3,62.96,5.94,8.86,0.04
20240610,6,3,88.0,8.44,8.26,0.69
20240610,8,3,27.97,0.38,13.48,1.82
