datekey,customerkey,productkey,regionkey,salesrepkey,warehousekey,invoicenumber,invoicelineno,quantity,listprice,discountamount,netsales,cogs,grossmargin,currency
20250824,2,25,3,10,1,INV900177,2,24.05,133.79,589.52,2628.13,1457.16,1170.97,EUR
20250822,28,21,4,2,2,INV464863,4,17.33,137.33,408.27,1971.66,1180.91,790.75,EUR
20251211,32,10,4,14,3,INV138479,4,5.31,57.96,7.14,300.63,219.99,80.64,EUR
20250610,1,22,4,7,1,INV296694,5,18.73,153.72,360.13,2519.05,1833.86,685.19,EUR
20240727,18,18,2,5,2,INV832168,4,6.95,194.9,164.95,1189.61,680.21,509.4,EUR
20240611,20,18,1,9,2,INV197736,2,49.62,183.46,840.14,8263.15,4422.77,3840.38,EUR
20240606,32,30,3,9,3,INV386706,4,41.9,196.25,400.83,7822.05,5204.63,2617.42,EUR
20250127,13,30,2,14,1,INV389666,4,17.65,159.67,150.59,2667.59,1335.85,1331.74,EUR
20241101,38,19,4,14,1,INV568238,5,24.73,73.16,276.04,1533.21,940.11,593.1,EUR
20241125,13,23,2,10,2,INV344907,4,3.14,151.49,67.09,408.59,303.76,104.83,EUR
20250130,10,16,1,3,3,INV718849,3,43.62,176.1,676.44,7005.04,4607.81,2397.23,EUR
20250412,1,24,2,7,3,INV261859,1,24.01,194.15,315.64,4345.9,3076.08,1269.82,EUR
20251027,6,28,3,14,3,INV659543,4,47.75,129.09,1094.04,5070.01,3277.17,1792.84,EUR
20250708,3,20,1,4,3,INV817644,3,49.87,151.89,657.45,6917.3,3662.94,3254.36,EUR
20251010,7,15,2,12,2,INV130353,1,16.89,20.66,25.02,323.93,203.82,120.11,EUR
20240907,34,14,2,3,1,INV182804,5,43.67,127.74,268.69,5309.72,4108.92,1200.8,EUR
20240526,15,15,3,8,2,INV799233,1,45.05,98.4,255.01,4177.91,2774.05,1403.86,EUR
20240316,29,12,3,11,2,INV823846,3,23.38,67.4,314.96,1260.85,953.2,307.65,EUR
20240419,16,13,3,10,2,INV833247,3,2.08,167.71,27.61,321.23,161.4,159.83,EUR
20251203,4,30,4,14,2,INV913423,2,30.75,76.94,301.24,2064.66,1416.91,647.75,EUR
20251125,9,21,1,11,3,INV141337,3,39.64,16.34,47.27,600.45,323.9,276.55,EUR
20241029,21,24,4,3,1,INV238579,5,43.95,79.51,350.7,3143.76,1828.91,1314.85,EUR
20240617,17,30,4,13,2,INV882824,3,40.41,98.98,60.24,3939.54,2861.07,1078.47,EUR
20240819,26,28,3,2,2,INV114594,3,27.29,96.41,354.05,2276.98,1597.76,679.22,EUR
20250821,25,27,3,2,3,INV345180,4,2.23,178.0,44.57,352.37,272.94,79.43,EUR
20240814,5,21,4,12,2,INV780776,4,6.72,18.62,0.93,124.2,99.21,24.99,EUR
20240428,7,8,2,7,2,INV489033,5,21.54,151.03,100.54,3152.65,1968.72,1183.93,EUR
20240411,32,20,4,5,1,INV823811,3,11.65,94.49,51.98,1048.83,638.53,410.3,EUR
20251203,24,18,3,1,2,INV389282,2,48.44,190.31,1519.58,7699.04,4061.26,3637.78,EUR
20240805,39,1,1,13,2,INV355400,2,39.56,48.99,321.64,1616.4,1076.95,539.45,EUR
20250823,14,27,2,6,1,INV926952,5,1.14,173.1,5.71,191.62,103.28,88.34,EUR
20240913,12,4,1,3,1,INV475644,2,29.85,13.0,20.6,367.45,197.7,169.75,EUR
20250307,34,4,1,8,2,INV915809,3,26.15,30.72,80.95,722.38,566.07,156.31,EUR
20240214,34,10,4,11,1,INV163780,4,42.52,90.99,83.54,3785.35,2701.68,1083.67,EUR
20250330,5,29,1,6,3,INV255539,1,7.18,128.62,108.12,815.37,581.89,233.48,EUR
20250125,39,17,3,8,3,INV734836,4,5.86,143.34,143.26,696.71,484.41,212.3,EUR
20250718,14,14,4,4,2,INV455395,4,20.54,148.63,190.83,2862.03,1699.35,1162.68,EUR
20240918,24,5,4,2,1,INV972176,1,5.57,28.35,23.33,134.58,100.06,34.52,EUR
20250723,4,19,3,11,1,INV530764,3,43.81,188.81,699.69,7572.08,5866.49,1705.59,EUR
20240222,19,20,3,6,1,INV705991,5,11.42,134.78,69.03,1470.16,782.81,687.35,EUR
20250723,24,4,3,10,1,INV946432,4,42.41,195.16,1354.78,6921.96,4735.12,2186.84,EUR
20251020,36,1,3,1,1,INV386544,3,46.16,76.69,128.44,3411.57,1852.4,1559.17,EUR
20251104,26,3,2,12,3,INV132146,1,37.56,50.88,160.46,1750.59,1054.33,696.26,EUR
20250113,20,24,3,13,3,INV725185,1,44.28,39.56,264.31,1487.41,765.91,721.5,EUR
20240324,18,15,4,8,3,INV563516,4,14.39,153.44,50.26,2157.74,1357.16,800.58,EUR
20241017,38,16,3,1,1,INV514463,5,3.68,48.84,33.98,145.75,106.43,39.32,EUR
20240918,19,11,1,1,2,INV883301,4,9.61,82.24,111.23,679.1,441.47,237.63,EUR
20251115,23,3,4,14,3,INV144357,4,1.92,185.02,61.25,293.99,197.78,96.21,EUR
20250810,26,23,4,5,1,INV524707,1,48.34,42.66,390.83,1671.35,1066.37,604.98,EUR
20251207,24,3,4,14,1,INV355135,4,29.85,109.55,258.84,3011.23,1785.91,1225.32,EUR
20241213,15,11,2,2,3,INV763984,1,27.0,46.84,196.34,1068.34,646.7,421.64,EUR
20251022,10,8,1,3,2,INV306854,2,30.52,154.44,617.95,4095.56,2265.43,1830.13,EUR
20251005,32,15,4,11,3,INV774225,5,16.84,194.48,207.07,3067.97,1938.74,1129.23,EUR
20250425,29,21,3,13,2,INV720148,1,18.25,24.1,40.62,399.21,204.11,195.1,EUR
20250112,19,3,1,10,3,INV631699,4,23.67,115.32,432.27,2297.35,1766.12,531.23,EUR
20250405,37,21,2,6,3,INV598733,5,8.39,21.76,3.78,178.79,137.62,41.17,EUR
20241217,6,17,2,1,1,INV841995,4,49.56,109.57,662.28,4768.01,2904.53,1863.48,EUR
20241016,25,14,3,11,3,INV154909,3,4.23,27.96,16.05,102.22,59.82,42.4,EUR
20251103,39,28,2,6,1,INV711046,2,45.92,68.94,415.38,2750.34,1921.5,828.84,EUR
20240512,39,23,1,5,3,INV494976,3,40.85,137.32,930.01,4679.51,3376.89,1302.62,EUR
20251202,34,3,4,9,2,INV119116,3,16.13,190.72,210.26,2866.05,2091.78,774.27,EUR
20240715,15,5,2,2,2,INV985447,1,25.88,112.56,430.34,2482.71,1633.52,849.19,EUR
20251108,22,29,2,10,2,INV261745,2,9.86,141.64,174.5,1222.07,941.97,280.1,EUR
20250324,3,14,3,11,3,INV349068,4,30.92,152.95,741.35,3987.86,2273.88,1713.98,EUR
20240901,20,26,4,14,1,INV485709,5,49.24,97.72,271.16,4540.57,2790.46,1750.11,EUR
20250624,27,6,2,13,3,INV245121,3,3.56,101.31,26.78,333.88,260.52,73.36,EUR
20251229,34,28,1,5,1,INV900185,2,14.37,182.01,77.08,2538.4,1602.34,936.06,EUR
20240815,29,29,3,1,2,INV155843,4,25.6,54.8,279.04,1123.84,688.32,435.52,EUR
20240129,21,30,1,14,3,INV781533,3,39.78,36.14,82.49,1355.16,1014.92,340.24,EUR
20251213,9,25,4,8,3,INV105506,1,1.93,50.97,2.94,95.43,74.63,20.8,EUR
20250915,34,14,1,13,2,INV349183,3,6.97,55.3,49.26,336.18,230.9,105.28,EUR
20240305,8,27,4,10,3,INV117233,5,29.18,146.52,249.06,4026.39,2015.08,2011.31,EUR
20241227,16,19,4,3,3,INV800674,1,26.65,78.51,398.96,1693.33,1123.06,570.27,EUR
20250603,36,1,4,14,2,INV145649,4,49.07,58.19,9.28,2846.1,2096.31,749.79,EUR
20241219,16,24,1,13,3,INV870899,3,7.54,76.94,39.28,540.85,374.72,166.13,EUR
20251202,30,23,4,11,1,INV950916,2,4.09,157.48,58.96,585.13,344.08,241.05,EUR
20240214,13,29,1,6,2,INV640418,4,49.47,113.18,283.66,5315.35,3858.88,1456.47,EUR
20240714,19,12,1,14,3,INV448048,3,7.1,79.92,100.94,466.49,337.27,129.22,EUR
20250130,22,6,4,12,2,INV485191,5,14.07,25.7,30.7,330.9,208.2,122.7,EUR
20240703,35,10,3,2,1,INV443848,3,16.02,124.5,169.98,1824.51,1289.8,534.71,EUR
20241225,29,2,3,10,2,INV387892,1,4.68,131.13,44.59,569.1,421.32,147.78,EUR
20251126,11,1,2,14,3,INV811027,4,2.71,22.77,9.61,52.1,31.78,20.32,EUR
20250127,37,2,2,11,2,INV488984,3,22.75,24.61,15.42,544.46,332.17,212.29,EUR
20241117,18,8,1,1,3,INV295085,4,26.37,183.57,114.01,4726.73,3462.28,1264.45,EUR
20251221,29,7,3,12,2,INV309902,1,7.65,24.07,6.36,177.78,126.94,50.84,EUR
20240330,21,22,3,12,1,INV676713,5,15.23,66.99,32.14,988.12,704.4,283.72,EUR
20251218,12,26,3,9,1,INV227257,2,39.81,54.98,216.26,1972.49,1199.8,772.69,EUR
20250809,24,15,2,10,1,INV168941,3,20.51,146.22,287.1,2711.87,1690.14,1021.73,EUR
20250223,37,3,2,6,3,INV177767,4,23.83,108.3,66.24,2514.55,1882.68,631.87,EUR
20250718,38,6,2,7,3,INV158104,1,26.39,67.78,57.94,1730.77,1350.73,380.04,EUR
20240818,23,17,3,14,1,INV362778,2,32.12,114.66,92.2,3590.68,2121.54,1469.14,EUR
20250630,6,17,2,10,3,INV261684,2,33.28,146.92,591.77,4297.73,3235.15,1062.58,EUR
20250731,3,27,1,2,1,INV772612,5,13.97,50.05,80.01,619.19,424.41,194.78,EUR
20240201,32,29,3,11,2,INV606404,2,40.43,140.15,337.07,5329.19,2781.26,2547.93,EUR
20240302,11,15,4,8,2,INV313933,3,30.73,69.39,306.36,1825.99,1315.19,510.8,EUR
20241219,26,5,3,9,3,INV211341,3,12.85,33.28,38.45,389.2,211.05,178.15,EUR
20240221,19,13,4,4,1,INV952993,3,46.75,147.01,260.94,6611.78,3621.95,2989.83,EUR
20250611,30,16,3,8,1,INV194423,4,25.77,193.67,214.75,4776.13,2893.71,1882.42,EUR
20240221,19,16,4,5,3,INV108574,1,22.12,177.67,571.83,3358.23,2448.68,909.55,EUR
20250109,3,13,1,10,3,INV304110,3,28.11,23.97,67.95,605.85,441.86,163.99,EUR
20241013,40,22,1,3,1,INV513037,3,39.95,74.43,558.39,2415.09,1754.54,660.55,EUR
20240722,39,17,4,9,1,INV147504,1,7.71,73.28,53.53,511.46,325.85,185.61,EUR
20250912,33,5,3,10,2,INV270395,4,49.54,150.47,446.12,7008.16,4211.29,2796.87,EUR
20250605,35,16,3,8,1,INV486251,3,34.02,196.18,779.13,5894.91,4356.49,1538.42,EUR
20251205,2,20,4,5,3,INV920934,5,29.3,147.07,502.9,3806.25,2097.83,1708.42,EUR
20251006,40,25,4,3,3,INV353961,1,29.06,143.1,158.67,3999.82,2529.13,1470.69,EUR
20250304,10,14,2,7,3,INV912617,5,46.11,175.84,1193.23,6914.75,3586.57,3328.18,EUR
20240521,34,7,3,11,2,INV651002,4,16.37,42.9,128.11,574.16,346.05,228.11,EUR
20241228,17,20,4,4,1,INV392559,5,15.63,188.88,579.96,2372.23,1734.94,637.29,EUR
20251222,14,23,4,6,2,INV465746,5,46.75,161.13,411.98,7120.85,3820.78,3300.07,EUR
20251123,35,13,4,14,2,INV910616,2,15.23,64.65,140.63,843.99,509.69,334.3,EUR
20250328,17,24,4,4,1,INV968170,5,14.29,116.78,90.66,1578.13,840.78,737.35,EUR
20250823,16,8,1,11,3,INV336633,2,3.57,88.53,45.34,270.71,143.52,127.19,EUR
20240520,1,18,2,7,3,INV598807,4,32.88,153.62,290.18,4760.85,2788.07,1972.78,EUR
20240301,6,21,2,9,3,INV858243,1,45.75,43.26,349.22,1629.92,900.92,729.0,EUR
20240207,26,26,4,3,3,INV403528,1,1.45,117.91,3.67,167.3,132.99,34.31,EUR
20241018,30,21,4,3,3,INV590755,3,10.45,31.4,10.66,317.47,202.44,115.03,EUR
20240920,12,1,3,13,2,INV695361,2,9.6,172.67,297.39,1360.24,1017.59,342.65,EUR
20250611,21,3,4,11,1,INV293757,2,24.4,187.81,6.26,4576.3,2814.76,1761.54,EUR
20250402,18,11,3,10,3,INV700705,1,13.82,78.31,51.15,1031.09,722.11,308.98,EUR
20250421,20,6,4,11,3,INV837733,3,34.82,131.36,860.49,3713.47,2266.19,1447.28,EUR
20240814,15,5,4,3,2,INV884056,5,19.31,143.37,505.41,2263.06,1645.71,617.35,EUR
20251111,14,25,2,11,3,INV925618,1,26.75,110.35,213.59,2738.27,2122.63,615.64,EUR
20240424,4,27,2,10,3,INV257131,2,17.08,108.86,43.23,1816.1,1019.96,796.14,EUR
20250820,32,3,4,13,1,INV575458,2,26.15,96.79,29.23,2501.83,1597.95,903.88,EUR
20241111,2,13,3,14,1,INV882032,2,29.34,18.61,37.62,508.4,263.92,244.48,EUR
20240302,5,30,4,1,2,INV528728,2,38.68,155.51,1176.96,4838.17,3356.55,1481.62,EUR
20250306,24,29,4,8,2,INV493892,1,34.45,135.74,504.38,4171.86,2903.87,1267.99,EUR
20241222,8,6,4,9,1,INV863214,2,41.91,153.67,1260.36,5179.95,3309.48,1870.47,EUR
20250711,28,18,4,14,1,INV359535,4,17.96,62.37,210.01,910.16,653.05,257.11,EUR
20240425,3,26,4,10,1,INV352356,2,4.3,122.85,47.17,481.08,337.53,143.55,EUR
20240219,16,24,1,7,2,INV345722,5,11.65,174.11,22.9,2005.48,1305.91,699.57,EUR
20241023,15,27,3,10,3,INV910065,3,12.61,176.49,438.74,1786.8,1172.81,613.99,EUR
20250227,20,9,1,9,3,INV870925,2,31.67,91.17,286.21,2601.14,2059.29,541.85,EUR
20251020,25,26,3,12,2,INV528090,2,15.69,44.94,75.86,629.25,360.11,269.14,EUR
20240818,20,28,2,13,2,INV160423,5,21.22,89.14,200.5,1691.05,1042.58,648.47,EUR
20240918,14,11,1,8,2,INV196955,5,36.5,46.19,90.52,1595.41,1120.14,475.27,EUR
20250909,3,28,1,4,3,INV859489,5,11.63,49.69,104.83,473.06,279.56,193.5,EUR
20240116,14,30,2,12,1,INV883159,4,45.81,142.17,916.7,5596.11,3463.93,2132.18,EUR
20240902,36,11,3,7,2,INV659572,3,16.11,78.33,222.8,1039.1,664.82,374.28,EUR
20250425,21,30,2,6,2,INV534037,1,28.56,52.04,43.38,1442.88,834.32,608.56,EUR
20250821,38,24,4,5,1,INV305721,3,12.27,118.26,71.31,1379.74,917.79,461.95,EUR
20251202,22,9,4,12,3,INV875520,4,23.58,149.23,247.85,3270.99,1772.84,1498.15,EUR
20250713,32,6,1,9,1,INV979827,1,47.31,136.96,990.52,5489.06,3423.62,2065.44,EUR
20251007,15,3,2,1,1,INV630299,4,19.29,127.39,327.69,2129.66,1458.72,670.94,EUR
20250509,32,1,1,9,3,INV531319,1,1.82,147.22,28.71,239.23,140.19,99.04,EUR
20250529,28,26,2,2,1,INV649857,2,12.81,127.76,82.62,1553.99,942.23,611.76,EUR
20250210,6,12,4,8,3,INV355021,2,15.7,167.33,42.36,2584.72,2061.32,523.4,EUR
20251027,3,3,4,7,2,INV679549,4,3.75,11.8,1.52,42.73,27.77,14.96,EUR
20250320,22,19,1,9,1,INV340927,2,45.16,141.53,724.52,5666.97,3294.37,2372.6,EUR
20240317,18,29,1,3,2,INV116418,2,29.76,152.93,648.74,3902.46,2417.53,1484.93,EUR
20240319,20,6,2,10,2,INV809922,5,17.25,153.57,74.15,2574.93,2051.04,523.89,EUR
20240321,33,24,3,1,1,INV558320,2,42.1,74.71,483.75,2661.54,2093.19,568.35,EUR
20250210,21,1,3,13,2,INV614435,2,18.43,188.82,300.56,3179.39,2238.0,941.39,EUR
20251107,25,3,3,13,1,INV847748,1,5.02,39.3,28.08,169.21,116.78,52.43,EUR
20250202,21,12,1,2,1,INV423241,4,18.64,61.26,30.26,1111.63,618.31,493.32,EUR
20250404,36,18,4,2,1,INV193972,3,28.16,123.42,545.26,2930.25,2224.4,705.85,EUR
20240113,19,14,4,13,1,INV860053,5,45.36,195.85,1016.23,7867.53,4334.02,3533.51,EUR
20250124,11,5,3,5,2,INV617077,2,4.1,92.59,31.97,347.65,224.33,123.32,EUR
20240319,24,9,2,12,3,INV619886,5,31.22,96.99,82.05,2945.98,1478.97,1467.01,EUR
20250209,22,27,4,13,2,INV561607,3,22.1,166.47,479.03,3199.96,2170.59,1029.37,EUR
20241103,21,20,2,8,2,INV286266,4,48.47,65.38,440.46,2728.51,1766.17,962.34,EUR
20250812,16,11,4,5,2,INV482746,1,46.67,47.96,446.43,1791.86,992.65,799.21,EUR
20250717,2,24,4,12,1,INV559753,3,41.73,23.14,163.73,801.9,592.21,209.69,EUR
20251120,32,5,3,4,2,INV790658,2,36.05,159.92,85.28,5679.84,4528.03,1151.81,EUR
20250505,38,13,4,9,1,INV929130,3,35.38,164.34,690.54,5123.81,3967.47,1156.34,EUR
20240421,16,22,3,3,3,INV742439,1,28.6,132.56,490.39,3300.83,2607.8,693.03,EUR
20241205,28,4,1,2,2,INV332785,5,37.6,116.02,599.97,3762.38,2130.67,1631.71,EUR
20250118,26,15,2,6,1,INV606222,1,15.48,184.9,49.15,2813.1,2108.12,704.98,EUR
20240525,23,10,3,8,1,INV646428,4,18.07,28.55,74.5,441.4,280.61,160.79,EUR
20240309,20,2,1,1,2,INV779445,1,34.18,41.23,277.31,1131.93,648.79,483.14,EUR
20240627,36,6,3,9,2,INV584498,2,40.09,129.65,193.76,5003.91,3488.69,1515.22,EUR
20250209,2,24,2,8,3,INV550418,4,1.22,50.81,3.45,58.54,41.63,16.91,EUR
20240305,37,4,2,6,2,INV306647,4,6.58,137.43,88.53,815.76,644.27,171.49,EUR
20241116,39,13,4,10,1,INV464825,3,42.43,127.3,879.06,4522.28,3218.94,1303.34,EUR
20241031,40,19,1,11,1,INV428399,1,12.69,32.22,30.53,378.34,205.21,173.13,EUR
20250201,27,20,2,10,2,INV543588,2,24.85,112.1,512.1,2273.59,1771.6,501.99,EUR
20240626,36,6,4,5,1,INV296187,3,42.26,127.69,934.1,4462.08,3505.2,956.88,EUR
20250511,9,7,4,9,3,INV784793,4,21.05,103.43,309.22,1867.98,1182.72,685.26,EUR
20240620,6,19,1,13,1,INV406278,1,14.47,112.15,54.59,1568.22,999.26,568.96,EUR
20250522,36,17,1,10,1,INV380901,5,41.34,79.7,542.07,2752.73,1410.73,1342.0,EUR
20250327,35,7,4,2,3,INV970392,2,15.59,199.87,280.27,2835.7,1714.39,1121.31,EUR
20240330,29,28,1,13,1,INV320073,5,34.77,173.6,736.72,5299.35,3330.38,1968.97,EUR
20250922,9,26,2,14,1,INV944565,1,28.93,111.13,383.78,2831.21,1558.62,1272.59,EUR
20251221,19,10,3,14,3,INV812296,1,7.64,152.52,95.92,1069.33,553.68,515.65,EUR
20241010,9,23,2,4,1,INV845951,3,41.6,154.68,870.27,5564.42,3599.28,1965.14,EUR
20250814,18,21,4,7,2,INV179184,1,20.74,152.46,439.33,2722.69,2077.94,644.75,EUR
20250410,32,11,1,14,3,INV197666,4,32.11,142.48,777.85,3797.18,2804.99,992.19,EUR
20250211,14,14,2,8,2,INV438548,3,17.55,119.81,238.08,1864.59,1203.78,660.81,EUR
20241217,4,2,1,11,2,INV117072,1,46.54,40.02,170.06,1692.47,1349.83,342.64,EUR
20250314,13,23,2,11,2,INV266699,3,5.57,78.48,7.21,429.92,300.67,129.25,EUR
20251026,11,2,4,11,2,INV861253,2,22.03,27.33,11.46,590.62,333.13,257.49,EUR
20240320,9,19,2,9,3,INV566686,1,1.4,75.28,2.54,102.85,77.97,24.88,EUR
20251211,9,16,1,4,2,INV193670,1,6.06,79.84,28.96,454.87,279.66,175.21,EUR
20240516,10,3,1,10,3,INV272088,4,18.21,50.48,137.57,781.67,606.55,175.12,EUR
20250922,29,28,2,2,1,INV246814,1,29.89,82.97,477.77,2002.2,1190.01,812.19,EUR
20240523,16,9,1,4,3,INV730193,5,36.34,64.13,438.73,1891.75,961.1,930.65,EUR
20251105,20,7,2,12,2,INV409898,1,39.41,160.82,303.38,6034.54,3715.86,2318.68,EUR
20240903,32,21,1,9,1,INV478638,3,7.47,173.55,147.37,1149.05,700.49,448.56,EUR
20251130,12,25,4,13,1,INV117500,5,4.31,59.82,2.05,255.77,132.52,123.25,EUR
20250211,33,10,4,7,3,INV521818,1,32.39,112.15,110.92,3521.62,1849.13,1672.49,EUR
20240321,33,30,2,13,1,INV662445,3,20.15,130.52,438.96,2191.02,1543.17,647.85,EUR
20240308,20,23,4,12,1,INV160718,2,5.22,92.55,43.81,439.3,299.89,139.41,EUR
20241112,12,4,1,12,1,INV835575,1,9.03,191.07,180.47,1544.89,1135.33,409.56,EUR
20240922,11,12,2,12,2,INV868538,1,38.8,15.58,97.58,506.92,294.82,212.1,EUR
20240306,17,23,1,8,2,INV635593,3,3.72,173.28,21.51,623.09,340.95,282.14,EUR
20240415,37,22,1,4,3,INV633541,1,3.16,173.96,26.89,522.82,335.4,187.42,EUR
20250127,10,6,1,9,3,INV876644,4,12.0,57.17,125.66,560.38,333.98,226.4,EUR
20240320,37,12,1,9,3,INV155230,2,11.94,108.0,11.85,1277.67,792.51,485.16,EUR
20250421,19,25,3,6,1,INV679958,4,1.39,48.13,7.54,59.36,35.09,24.27,EUR
20250929,16,15,3,10,2,INV910143,2,36.89,113.85,668.61,3531.32,1925.17,1606.15,EUR
20250223,2,8,3,11,3,INV110060,3,1.07,134.89,24.51,119.82,86.05,33.77,EUR
20240416,14,17,2,7,2,INV162804,2,35.87,27.68,182.94,809.94,622.99,186.95,EUR
20250616,27,23,3,8,3,INV189026,5,5.68,35.37,32.95,167.95,87.75,80.2,EUR
20250804,4,14,2,4,2,INV373668,3,46.38,84.66,653.3,3273.23,1956.98,1316.25,EUR
20250408,18,8,1,4,1,INV917823,5,6.34,30.07,17.14,173.5,103.1,70.4,EUR
20240503,35,12,2,8,2,INV585854,3,42.77,27.18,187.76,974.73,576.32,398.41,EUR
20251222,39,2,2,14,2,INV255528,1,35.85,194.0,551.17,6403.73,3295.9,3107.83,EUR
